Semester Term Code,Person ID,Course Sec,Registration Date,Status,Waitlist Reason
FA17,1,FDMAT108-33,8/28/2017 13:55,Wait List,
FA17,1,FDMAT108-33,9/10/2017 15:13,Dropped,
FA17,1,FDMAT108-33,9/10/2017 15:13,Registered,Waitlist Registered
FA17,1,FDMAT108-33,10/25/2017 16:35,Withdrawn,
WI17,2,FDMAT108-A3,1/5/2017 16:46,Wait List,
WI17,2,FDMAT108-A3,1/9/2017 20:03,Dropped,
WI17,2,FDMAT108-A3,1/9/2017 20:03,Registered,Waitlist Registered
FA16,3,FDMAT108-15,7/19/2016 14:36,Wait List,
FA16,3,FDMAT108-15,9/1/2016 17:50,Dropped,Waitlist System Dropped
WI17,4,FDMAT108-A3,12/1/2016 21:27,Registered,
WI17,5,FDMAT108-18,1/5/2017 10:59,Wait List,
WI17,5,FDMAT108-18,1/9/2017 14:16,Dropped,
WI17,5,FDMAT108-18,1/9/2017 14:16,Registered,Waitlist Registered
FA16,6,FDMAT108-15,8/20/2016 11:41,Wait List,
FA16,6,FDMAT108-15,9/11/2016 23:23,Dropped,Waitlist Student Dropped
WI17,7,FDMAT108-53,11/23/2016 14:58,Registered,
FA16,8,FDMAT108-15,6/29/2016 15:23,Registered,
WI17,9,FDMAT108-A3,1/5/2017 17:20,Wait List,
WI17,9,FDMAT108-A3,1/9/2017 14:35,Dropped,Waitlist Student Dropped
FA16,10,FDMAT108-15,6/29/2016 16:17,Registered,
WI17,11,FDMAT108-53,12/12/2016 13:43,Registered,
WI17,11,FDMAT108-53,1/5/2017 13:20,Dropped,
FA16,12,FDMAT108-15,7/3/2016 19:22,Registered,
FA16,12,FDMAT108-15,9/1/2016 7:37,Dropped,
WI17,13,FDMAT108-18,11/16/2016 6:01,Registered,
WI17,14,FDMAT108-18,11/28/2016 8:05,Wait List,
WI17,14,FDMAT108-18,11/28/2016 8:08,Dropped,Waitlist Student Dropped
WI17,15,FDMAT108-53,1/2/2017 12:30,Wait List,
WI17,15,FDMAT108-53,1/4/2017 10:40,Dropped,
WI17,15,FDMAT108-53,1/4/2017 10:40,Registered,Waitlist Registered
FA16,16,FDMAT108-15,7/17/2016 21:31,Wait List,
FA16,16,FDMAT108-15,8/28/2016 1:53,Dropped,
FA16,16,FDMAT108-15,8/28/2016 1:53,Registered,Waitlist Registered
WI17,17,FDMAT108-18,11/15/2016 15:17,Registered,
WI17,17,FDMAT108-18,1/26/2017 8:09,Dropped,
WI17,18,FDMAT108-18,11/23/2016 8:57,Wait List,
WI17,18,FDMAT108-18,11/23/2016 9:04,Dropped,Waitlist Student Dropped
WI17,19,FDMAT108-18,1/10/2017 16:06,Wait List,
WI17,19,FDMAT108-18,1/10/2017 16:31,Dropped,Waitlist Student Dropped
WI17,20,FDMAT108-A3,12/2/2016 14:25,Registered,
WI17,20,FDMAT108-A3,12/2/2016 16:37,Dropped,
WI17,21,FDMAT108-A3,12/2/2016 20:41,Registered,
FA16,22,FDMAT108-15,8/30/2016 15:25,Wait List,
FA16,22,FDMAT108-15,9/14/2016 9:04,Dropped,Waitlist Student Dropped
FA16,22,FDMAT108-15,9/14/2016 13:19,Wait List,
FA16,22,FDMAT108-15,9/16/2016 13:52,Dropped,
FA16,22,FDMAT108-15,9/16/2016 13:52,Registered,Waitlist Registered
FA16,23,FDMAT108-14,6/22/2016 7:19,Wait List,
FA16,23,FDMAT108-14,6/22/2016 22:41,Dropped,Waitlist Student Dropped
FA16,24,FDMAT108-15,7/1/2016 18:28,Registered,
FA16,25,FDMAT108-15,7/19/2016 1:20,Wait List,
FA16,25,FDMAT108-15,8/22/2016 13:31,Dropped,Waitlist Student Dropped
FA16,26,FDMAT108-15,7/3/2016 15:14,Registered,
FA16,26,FDMAT108-15,7/3/2016 15:21,Dropped,
WI17,27,FDMAT108-18,11/15/2016 6:52,Registered,
WI17,27,FDMAT108-18,11/15/2016 11:50,Dropped,
FA16,28,FDMAT108-14,6/22/2016 10:36,Wait List,
FA16,28,FDMAT108-14,7/1/2016 15:50,Dropped,Waitlist System Dropped
FA16,29,FDMAT108-15,7/7/2016 15:08,Wait List,
FA16,29,FDMAT108-15,7/20/2016 7:07,Dropped,
FA16,29,FDMAT108-15,7/20/2016 7:07,Registered,Waitlist Registered
FA16,29,FDMAT108-15,9/18/2016 23:06,Dropped,
FA17,30,FDMAT108-33,8/31/2017 20:43,Wait List,
FA17,30,FDMAT108-33,8/31/2017 20:50,Dropped,Waitlist Student Dropped
FA17,31,FDMAT108-33,8/22/2017 23:54,Registered,
FA16,32,FDMAT108-15,7/5/2016 11:05,Registered,
WI17,33,FDMAT108-18,11/11/2016 18:26,Registered,
WI17,33,FDMAT108-18,11/11/2016 18:46,Dropped,
FA16,34,FDMAT108-15,7/3/2016 20:05,Registered,
WI17,35,FDMAT108-18,12/31/2016 2:31,Wait List,
WI17,35,FDMAT108-18,1/11/2017 10:54,Dropped,Waitlist Student Dropped
FA16,36,FDMAT108-15,7/1/2016 14:54,Registered,
FA16,36,FDMAT108-15,9/9/2016 9:53,Dropped,
FA16,37,FDMAT108-15,7/2/2016 14:23,Registered,
FA16,37,FDMAT108-15,7/30/2016 10:57,Dropped,
WI17,38,FDMAT108-18,11/29/2016 22:04,Wait List,
WI17,38,FDMAT108-18,12/3/2016 23:52,Dropped,Waitlist Student Dropped
WI17,39,FDMAT108-53,11/23/2016 13:45,Dropped,
WI17,39,FDMAT108-53,11/23/2016 13:45,Registered,
FA16,40,FDMAT108-14,6/23/2016 13:07,Wait List,
FA16,40,FDMAT108-14,8/11/2016 14:50,Dropped,Waitlist System Dropped
FA16,40,FDMAT108-14,8/11/2016 18:32,Wait List,
FA16,40,FDMAT108-14,9/16/2016 16:10,Dropped,
FA16,40,FDMAT108-14,9/16/2016 16:10,Registered,Waitlist Registered
FA16,41,FDMAT108-14,9/8/2016 14:30,Wait List,
FA16,41,FDMAT108-14,9/16/2016 17:46,Dropped,
FA16,41,FDMAT108-14,9/16/2016 17:46,Registered,Waitlist Registered
FA16,41,FDMAT108-14,10/27/2016 15:01,Withdrawn,
FA16,41,FDMAT108-15,9/8/2016 14:29,Wait List,
